Central Government,Ministry of Earth Sciences (MoES),Attached/Subordinated Offices,NATIONAL CENTER FOR SEISMOLOGY
Central Government,"Department of Agriculture, Cooperation & Farmers Welfare (DAC&FW)",Statutory/Autonomous Bodies,NATIONAL CENTRE FOR COLD-CHAIN DEVELOPMENT
Central Government,Department of Telecommunication (DOT),Other Offices,NATIONAL CENTRE FOR COMMUNICATION SECURITY
Central Government,"Ministry of Environment, Forest and Climate Change (MoEFCC)",Other Offices,NATIONAL CENTRE FOR SUSTAINABLE COASTAL MANAGEMENT CHENNAI
Central Government,Department of Social Justice and Empowerment (DoSJE),Commissions/Committees/Missions,NATIONAL COMMISSION FOR BACKWARD CLASS
Central Government,Ministry of Minority Affairs (MMA),Commissions/Committees/Missions,National Commission for Minorities
Central Government,Ministry of Women and Child Development (MoWCD),Commissions/Committees/Missions,NATIONAL COMMISSION FOR PROTECTION OF CHILD RIGHTS(NCPCR)
Central Government,Department of Social Justice and Empowerment (DoSJE),Commissions/Committees/Missions,NATIONAL COMMISSION FOR SAFAI KARAMCHARIS
Central Government,Department of Social Justice and Empowerment (DoSJE),Commissions/Committees/Missions,NATIONAL COMMISSION FOR SCHEDULED CASTES
Central Government,Ministry of Women and Child Development (MoWCD),Commissions/Committees/Missions,NATIONAL COMMISSION FOR WOMEN
Central Government,Ministry of Corporate Affairs(MCA),Other Offices,NATIONAL COMPANY LAW TRIBUNAL (NCLT)
Central Government,Department for Promotion of Industry and Internal Trade (DPIIT),Statutory/Autonomous Bodies,NATIONAL COUNCIL FOR CEMENT AND BUILDING MATERIALS (NCCBM)
Central Government,Ministry of Tourism,Statutory/Autonomous Bodies,NATIONAL COUNCIL FOR HOTEL MANAGEMENT AND CATERING TECHNOLOGY
Central Government,Ministry of Culture (MoC),Statutory/Autonomous Bodies,NATIONAL CULTURE FUND
Central Government,Ministry of Tribal Affairs (MoTA),Other Offices,NATIONAL EDUCATION SOCIETY FOR TRIBAL STUDENT (NESTS)
Central Government,Ministry of Corporate Affairs(MCA),Statutory/Autonomous Bodies,NATIONAL FINANCIAL REPORTING AUTHORITY(NFRA)
Central Government,Ministry of Culture (MoC),Statutory/Autonomous Bodies,NATIONAL GALLERY OF MODERN ARTS
Central Government,Department of Health and Family Welfare (DoHFW)- MoHFW,Other Offices,NATIONAL HEALTH AUTHORITY
Central Government,Ministry of Road Transport & Highways (MoRTH),Statutory/Autonomous Bodies,NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED (NHIDCL)
Central Government,"Department of Agriculture, Cooperation & Farmers Welfare (DAC&FW)",PSUs/JVs/Companies/Societies,NATIONAL HORTICULTURE BOARD
Central Government,Ministry of Labour And Employment (MoLE),Other Offices,NATIONAL INSTITUTE FOR CAREER SERVICE
Central Government,Department of Social Justice and Empowerment (DoSJE),Statutory/Autonomous Bodies,NATIONAL INSTITUTE FOR THE EMPOWERMENT OF PERSONS WITH INTELLECTUAL DISABILITIES
Central Government,"Department of Agriculture, Cooperation & Farmers Welfare (DAC&FW)",Statutory/Autonomous Bodies,NATIONAL INSTITUTE OF AGRICULTURAL EXTENSION MANAGEMENT
Central Government,Ministry of New and Renewable Energy(MNRE),Statutory/Autonomous Bodies,NATIONAL INSTITUTE OF BIO ENERGY (NIBE)
Central Government,Department of Telecommunication (DOT),Statutory/Autonomous Bodies,NATIONAL INSTITUTE OF COMMUNICATION FINANCE
Central Government,Ministry of Home Affairs (MHA) - [Representing 5 departments],Statutory/Autonomous Bodies,NATIONAL INSTITUTE OF DISASTER MANAGEMENT
Central Government,Ministry of Electronics & Information Technology (MeitY),Academies/Institutions,NATIONAL INSTITUTE OF ELECTRONICS AND INFORMATION TECHNOLOGY
Central Government,Ministry of Education - [Representing 2 departments],Statutory/Autonomous Bodies,NATIONAL INSTITUTE OF OPEN SCHOOLING
Central Government,Ministry of Women and Child Development (MoWCD),Statutory/Autonomous Bodies,NATIONAL INSTITUTE OF PUBLIC COOPERATION AND CHILD DEVELOPMENT
Central Government,Department of Social Justice and Empowerment (DoSJE),Statutory/Autonomous Bodies,NATIONAL INSTITUTE OF SOCIAL DEFENCE
Central Government,Ministry of Textiles (MoT),Statutory/Autonomous Bodies,NATIONAL JUTE BOARD (NJB)
Central Government,Ministry of Culture (MoC),Attached/Subordinated Offices,NATIONAL LIBRARY
Central Government,Department of Health and Family Welfare (DoHFW)- MoHFW,Commissions/Committees/Missions,NATIONAL MEDICAL COMMISSION
Central Government,Ministry of Minority Affairs (MMA),PSUs/JVs/Companies/Societies,National Minorities Development and Finance Corporation
Central Government,"Ministry of Environment, Forest and Climate Change (MoEFCC)",Commissions/Committees/Missions,NATIONAL MISSION FOR CLEAN GANGA
Central Government,Department of Pharmaceuticals,Attached/Subordinated Offices,NATIONAL PHARMACEUTICAL PRICING AUTHORITY
Central Government,Department of Rural Development (DoRD),Other Offices,National Rural Infrastructure Development Agency (NRIDA)
Central Government,Department of Social Justice and Empowerment (DoSJE),PSUs/JVs/Companies/Societies,NATIONAL SAFAI KARAMCHARIS FINANCE AND DEVELOPMENT CORPORATION (NSKFDC)
Central Government,Department of Social Justice and Empowerment (DoSJE),PSUs/JVs/Companies/Societies,NATIONAL SCHEDULED CASTES FINANCE AND DEVELOPMENT CORPORATION (NSFDC)
Central Government,Ministry of Tribal Affairs (MoTA),PSUs/JVs/Companies/Societies,NATIONAL SCHEDULED TRIBES FINANCE & DEVELOPMENT CORPORATION (NSTFDC)
Central Government,"Department of Agriculture, Cooperation & Farmers Welfare (DAC&FW)",PSUs/JVs/Companies/Societies,NATIONAL SEEDS CORPORATION LIMITED
Central Government,Ministry of Youth Affairs & Sports (MoYAS) - [Representing 2 departments],Attached/Subordinated Offices,NATIONAL SERVICE SCHEME
Central Government,Department of Telecommunication (DOT),Academies/Institutions,"NATIONAL TELECOMMUNICATIONS INSTITUTE FOR POLICY RESEARCH, INNOVATION & TRAINING"
Central Government,Department of Social Justice and Empowerment (DoSJE),Statutory/Autonomous Bodies,"National Trust for the Welfare of Persons with Autism, Cerebral Palsy, Mental Retardation and Multiple Disabilities, New Delhi"
Central Government,"Department of Water Resources, River Development & Ganga Rejuvenation",Statutory/Autonomous Bodies,NORTH EASTERN REGIONAL INSTITUTE OF WATER AND LAND MANAGEMENT
Central Government,"Department of Agriculture, Cooperation & Farmers Welfare (DAC&FW)",Attached/Subordinated Offices,NORTH EASTERN REGION FARM MACHINERY TRAINING AND TESTING INSTITUTE(FMTTIS) BISWANATH CHARIALI ASSAM
Central Government,"Department of Agriculture, Cooperation & Farmers Welfare (DAC&FW)",Attached/Subordinated Offices,NORTHERN REGION FARM MACHINERY TRAINING AND TESTING INSTITUTE (NRFMTTI) SIRSA ROAD HISAR
Central Government,Ministry of Textiles (MoT),Commissions/Committees/Missions,"OFFICE OF JUTE COMMISSIONER, KOLKATA"
Central Government,Department for Promotion of Industry and Internal Trade (DPIIT),Commissions/Committees/Missions,OFFICE OF SALT COMMISSIONER
Central Government,Department for Promotion of Industry and Internal Trade (DPIIT),Attached/Subordinated Offices,PETROLEUM AND EXPLOSIVES SAFETY ORGANIZATION
Central Government,Ministry of Information & Broadcasting (MIB),Attached/Subordinated Offices,PUBLICATIONS DIVISION
Central Government,Ministry of Women and Child Development (MoWCD),Statutory/Autonomous Bodies,RASHTRIYA MAHILA KOSH
Central Government,Ministry of Information & Broadcasting (MIB),Attached/Subordinated Offices,REGISTRAR OF NEWSPAPERS FOR INDIA
Central Government,Department of Commerce (DoC),Statutory/Autonomous Bodies,RUBBER BOARD
Central Government,Ministry of Information & Broadcasting (MIB),Statutory/Autonomous Bodies,SATYAJIT RAY FILM AND TELEVISION INSTITUTE
Central Government,"Department of Agriculture, Cooperation & Farmers Welfare (DAC&FW)",Other Offices,SMALL FARMERS AGRIBUSINESS CONSORTIUM
Central Government,Ministry of Electronics & Information Technology (MeitY),Statutory/Autonomous Bodies,SOFTWARE TECHNOLOGY PARKS OF INDIA
Central Government,"Department of Agriculture, Cooperation & Farmers Welfare (DAC&FW)",Attached/Subordinated Offices,SOIL AND LAND USE SURVEY OF INDIA (SLUSI)
